ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
600060.SH,20251222,24.41,74,3,16,7,17,10,12,0,12,ACCUMULATING,🔥 主力吸筹,-0.0088,0.0106,🟢 接近,1,24.75,24.75,0.3409
000680.SZ,20251224,11.04,105,6,10,21,20,15,15,8,16,ACCUMULATING,🔥 主力吸筹,-0.0504,0.0513,🟢 信号确认,0,10.86,11.03,0.6464
300429.SZ,20251224,14.25,97,6,14,18,14,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0279,0.0108,🟢 信号确认,0,14.06,14.28,0.6444
603125.SH,20251224,17.84,103,5,14,25,21,8,7,12,16,ACCUMULATING,🔥 主力吸筹,-0.0752,0.0299,🟢 信号确认,0,17.54,17.85,0.7064
688222.SH,20251224,24.22,98,5,10,25,6,15,15,15,12,WASHING,🟡 底部洗盘,-0.2322,0.0,🟢 信号确认,0,23.89,24.09,0.6525
002262.SZ,20251224,25.1,90,5,18,15,7,15,15,8,12,WASHING,🟡 底部洗盘,-0.0213,-0.0044,🟢 信号确认,0,24.74,24.51,0.653
603235.SH,20251224,27.25,70,4,18,18,11,4,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.032,0.0088,🟢 接近,1,27.61,27.37,0.2587
000899.SZ,20251224,10.24,72,3,10,9,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0062,0.012,🟢 接近,1,10.08,10.12,0.64
688776.SH,20251225,96.22,104,6,16,25,20,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0715,0.046,🟢 信号确认,0,92.62,92.62,0.7101
688222.SH,20251225,24.25,98,5,10,25,6,15,15,15,12,WASHING,🟡 底部洗盘,-0.2322,0.0,🟢 信号确认,0,23.89,24.09,0.6478
603125.SH,20251225,17.98,72,5,14,25,21,2,10,12,12,ACCUMULATING,🔥 主力吸筹,-0.081,0.0299,🟢 接近,1,17.54,17.85,0.8564
603235.SH,20251225,27.3,90,4,18,18,17,10,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0322,0.0114,🟢 信号确认,0,27.61,27.3,0.3233
000899.SZ,20251225,10.25,79,4,14,12,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0104,0.012,🟢 信号确认,0,10.08,10.12,0.6316
600517.SH,20251225,6.04,74,3,10,7,15,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0087,0.0221,🟢 接近,1,6.0,5.9,0.5577
688222.SH,20251230,23.89,104,6,18,25,14,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.2012,0.0089,🟢 信号确认,0,23.89,24.09,0.5434
605555.SH,20251230,18.67,100,6,18,21,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0548,0.0129,🟢 信号确认,0,18.08,17.97,0.6905
002552.SZ,20251230,16.68,96,6,14,18,17,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0344,0.011,🟢 信号确认,0,16.59,16.95,0.5154
